State Name,Dist Name,RICE YIELD (Kg per ha),MAIZE YIELD (Kg per ha),CHICKPEA YIELD (Kg per ha),PIGEONPEA YIELD (Kg per ha),COTTON YIELD (Kg per ha)
Andhra Pradesh,Ananthapur,2380.5065,3103.6305,595.59375,204.52474999999998,189.159
Andhra Pradesh,Chittoor,2541.42225,3183.61925,210.41675,193.54675,79.73525
Andhra Pradesh,East Godavari,2947.26525,4769.7255,1028.00325,448.959,355.30475
Andhra Pradesh,Guntur,3004.56325,4862.629,1258.37375,557.4945,504.15725000000003
Andhra Pradesh,Kadapa YSR,2525.94725,2693.545,745.6055,273.01975,189.58225
Andhra Pradesh,Krishna,2876.707,4123.663,899.0959999999999,527.0082500000001,413.55550000000005
Andhra Pradesh,Kurnool,2730.1682499999997,3408.16475,902.7665,350.05699999999996,245.15349999999998
Andhra Pradesh,S.P.S. Nellore,2946.424,4184.53025,1191.1245000000001,413.79049999999995,393.717
Andhra Pradesh,Srikakulam,1941.80475,3227.32625,927.41625,503.99875000000003,257.25175
Andhra Pradesh,Visakhapatnam,1685.8177500000002,2648.5165,920.0865,378.727,252.27975
Andhra Pradesh,West Godavari,3101.68575,4513.61125,293.9395,413.86199999999997,366.53675
Assam,Cachar,1683.542,656.6065000000001,446.52074999999996,704.5474999999999,50.68075
Assam,Darrang,1337.75825,1148.6680000000001,640.683,747.51575,28.975749999999998
Assam,Dibrugarh,1520.6075,716.3665,431.18649999999997,744.855,4.5
Assam,Goalpara,1278.33075,848.36875,585.012,778.0265,5.80225
Assam,Kamrup,1307.4085,1030.67475,446.08050000000003,762.68025,58.41825
Assam,Karbi Anglong,1465.40625,969.695,501.34475000000003,690.7239999999999,83.18225
Assam,Lakhimpur,1254.6512500000001,1059.4205,391.32125,747.9865,22.272
Assam,Nagaon,1585.6442499999998,886.8342500000001,418.808,701.11825,44.4985
Assam,North Cachar Hil / Dima hasao,1596.2275,894.912,185.3,760.336,82.50699999999999
Assam,Sibsagar,1740.795,777.4035,505.8045,691.94025,14.46475
Bihar,Bhagalpur,1592.1985,2105.60325,770.87925,1117.77325,8.33325
Bihar,Champaran,1328.80575,2545.3825,830.1270000000001,1434.1,37.5
Bihar,Darbhanga,1019.7715000000001,2627.2614999999996,838.69975,1127.8587499999999,25.0
Bihar,Gaya,1742.78425,1700.3177500000002,850.2485,1109.06,25.83325
Bihar,Mungair,1313.376,2040.69025,907.9834999999999,1258.0414999999998,0.0
Bihar,Muzaffarpur,1027.79675,2127.29175,2308.23,1239.6025,22.3215
Bihar,Patna,1674.9029999999998,1973.8674999999998,1088.54525,1340.1924999999999,16.66675
Bihar,Purnea,1221.1505,2692.55275,695.7765,1107.35975,28.219749999999998
Bihar,Saharsa,1154.8790000000001,2599.9572500000004,1159.3867500000001,1050.6412500000001,0.0
Bihar,Saran,1251.746,1856.81525,893.8385000000001,1270.61075,38.125
Bihar,Shahabad (now part of Bhojpur district),2143.18325,1404.8595,996.42125,1271.39075,0.0
Chhattisgarh,Bastar,1135.00725,1628.868,660.98825,907.619,13.29375
Chhattisgarh,Bilaspur,1341.2352500000002,1280.18825,640.6257499999999,838.63575,0.0
Chhattisgarh,Durg,1150.42175,1157.22,646.9105000000001,745.53725,126.479
Chhattisgarh,Raigarh,1077.63375,1490.2165,701.42725,869.984,50.0
Chhattisgarh,Raipur,1326.1885,1186.3477500000001,710.26425,568.50575,58.36675
Chhattisgarh,Surguja,991.6985000000001,1303.2155,575.5097499999999,857.74375,25.0
Gujarat,Ahmedabad,1742.2,1250.116,549.761,804.21525,232.54975
Gujarat,Amreli,668.0654999999999,1183.78825,804.6637499999999,575.5912500000001,378.197
Gujarat,Banaskantha,511.0415,1624.9837499999999,765.095,857.1657499999999,369.65074999999996
Gujarat,Bharuch,907.63225,1310.1209999999999,603.7265,667.9917499999999,252.93075
Gujarat,Bhavnagar,1011.11775,1176.8,733.5385,621.548,387.283
Gujarat,Dangs,1256.93375,1118.60275,598.7685,766.9689999999999,0.0
Gujarat,Jamnagar,307.0835,912.0024999999999,919.4905000000001,619.88325,488.4205
Gujarat,Junagadh,963.6635,925.7747499999999,1017.991,600.0037500000001,491.79825
Gujarat,Kheda,1872.729,1396.752,702.63525,937.3370000000001,349.0765
Gujarat,Kutch,0.0,349.04949999999997,559.2995,125.92750000000001,409.26925
Gujarat,Mehsana,1755.015,1228.1879999999999,552.70275,814.6,340.38325
Gujarat,Panchmahal,727.2685,1195.1444999999999,915.2647499999999,1100.693,297.24975
Gujarat,Rajkot,501.326,916.3172500000001,876.649,676.5825,468.79925000000003
Gujarat,Sabarkantha,1557.7782499999998,1350.1444999999999,770.92225,790.7015,361.64725
Gujarat,Surat,1951.25425,1235.74125,874.2995000000001,864.61925,392.5265
Gujarat,Surendranagar,1551.83125,273.60949999999997,636.55325,383.07225,266.74825
Gujarat,Vadodara / Baroda,983.78575,1474.7595,780.5609999999999,839.51175,360.393
Gujarat,Valsad,2077.1087500000003,279.28824999999995,750.294,722.4905,48.40925
Haryana,Ambala,2964.36175,1905.9252499999998,706.3712499999999,962.28425,71.16675000000001
Haryana,Gurgaon,2422.4355,798.8014999999999,979.653,567.36825,174.61375
Haryana,Hissar,3176.5405,440.47625,769.4485,515.4995,453.1905
Haryana,Jind,2417.89825,741.46075,606.79325,542.57925,369.7975
Haryana,Karnal,2834.45275,1330.0155,463.30775000000006,859.55,340.518
Haryana,Mahendragarh / Narnaul,1382.99725,25.0,742.35825,453.696,356.72525
Haryana,Rohtak,2000.5785,1939.01875,924.9024999999999,720.089,308.07925
Himachal Pradesh,Bilashpur,1420.385,1831.1200000000001,529.909,23.055500000000002,137.1625
Himachal Pradesh,Chamba,1301.0485,2505.27925,27.884500000000003,10.0,0.0
Himachal Pradesh,Kangra,1340.3912500000001,1758.091,679.22675,111.88175000000001,256.82575
Himachal Pradesh,Kinnaur,1207.291,2163.0955000000004,0.0,0.0,0.0
Himachal Pradesh,Kullu,1315.2395000000001,2519.2599999999998,393.46925,18.3835,0.0
Himachal Pradesh,Lahul & Spiti,0.0,1775.575,0.0,41.6665,0.0
Himachal Pradesh,Mandi,1233.2765,1869.38325,617.1792499999999,0.0,2.125
Himachal Pradesh,Shimla,1063.3825000000002,2185.3925,443.75,97.8605,0.0
Himachal Pradesh,Sirmaur,1375.44025,2536.4900000000002,663.9984999999999,115.8335,275.99175
